DAUID,PRUID,Province,x,y,Population
10010261,NL,Newfoundland and Labrador,-52.7062572435647,47.5879869921401,513
10010262,NL,Newfoundland and Labrador,-52.7072073276137,47.5912853198151,429
10010263,NL,Newfoundland and Labrador,-52.7031149254454,47.5931923674071,521
10010264,NL,Newfoundland and Labrador,-52.7068478079737,47.5949927082,454
10010265,NL,Newfoundland and Labrador,-52.7046547228928,47.5983234452932,489
10010266,NL,Newfoundland and Labrador,-52.7046230555927,47.5984640378835,670
10010267,NL,Newfoundland and Labrador,-52.7099246968039,47.6038997379017,598
10010268,NL,Newfoundland and Labrador,-52.7123661918261,47.6044941314011,294
10010269,NL,Newfoundland and Labrador,-52.7119129992745,47.6089609038592,1071
10010270,NL,Newfoundland and Labrador,-52.7163406239249,47.6097744623316,786
10010271,NL,Newfoundland and Labrador,-52.701078504794,47.6120760302642,460
10010272,NL,Newfoundland and Labrador,-52.702534818437,47.609604849686,503
10010273,NL,Newfoundland and Labrador,-52.6963104613193,47.6062870102102,1511
10010276,NL,Newfoundland and Labrador,-52.6951232294077,47.5987218520418,266
10010277,NL,Newfoundland and Labrador,-52.6910634768045,47.5973731084274,577
10010278,NL,Newfoundland and Labrador,-52.6934744241591,47.5958048143166,194
10010279,NL,Newfoundland and Labrador,-52.6956351418277,47.5912969181943,1293
10010280,NL,Newfoundland and Labrador,-52.6877598658078,47.5955876314165,294
10010281,NL,Newfoundland and Labrador,-52.6879564383024,47.5983387650943,258
10010282,NL,Newfoundland and Labrador,-52.6866463181268,47.5978429875531,559
10010283,NL,Newfoundland and Labrador,-52.6899739427817,47.5862562034062,943
10010284,NL,Newfoundland and Labrador,-52.7017604406414,47.5798477394549,248
10010285,NL,Newfoundland and Labrador,-52.6994174379019,47.5829036861405,368
10010286,NL,Newfoundland and Labrador,-52.6898528011383,47.5797143704239,358
10010290,NL,Newfoundland and Labrador,-52.7032388821325,47.570215922649,479
10010294,NL,Newfoundland and Labrador,-52.7086421360189,47.5644485953141,526
10010295,NL,Newfoundland and Labrador,-52.7058342060448,47.5677142052256,436
10010296,NL,Newfoundland and Labrador,-52.7059797830525,47.5694132926539,401
10010297,NL,Newfoundland and Labrador,-52.7117038068988,47.5706586215082,429
10010298,NL,Newfoundland and Labrador,-52.7113359183518,47.5687918056609,443
10010299,NL,Newfoundland and Labrador,-52.7106202235237,47.5653283977753,553
10010300,NL,Newfoundland and Labrador,-52.7146034917852,47.5626512290134,330
10010301,NL,Newfoundland and Labrador,-52.7135363939099,47.561298078301,313
10010302,NL,Newfoundland and Labrador,-52.7160309232462,47.5595827857312,384
10010303,NL,Newfoundland and Labrador,-52.7179087937224,47.5585310830694,322
10010304,NL,Newfoundland and Labrador,-52.7188441203787,47.5567070420122,464
10010305,NL,Newfoundland and Labrador,-52.7168565396842,47.5553617913877,462
10010306,NL,Newfoundland and Labrador,-52.7188287770888,47.5530849384304,473
10010307,NL,Newfoundland and Labrador,-52.7253140001345,47.555201641832,345
10010308,NL,Newfoundland and Labrador,-52.7165633330568,47.5650177895655,345
10010309,NL,Newfoundland and Labrador,-52.7166618427152,47.5697385475577,800
10010310,NL,Newfoundland and Labrador,-52.7158831521488,47.5739493325515,429
10010337,NL,Newfoundland and Labrador,-52.7327642748677,47.5925190437793,910
10010338,NL,Newfoundland and Labrador,-52.7290794659142,47.5917761734428,541
10010339,NL,Newfoundland and Labrador,-52.7219525861719,47.5938452206858,582
10010340,NL,Newfoundland and Labrador,-52.7195268047965,47.5957876092845,498
10010341,NL,Newfoundland and Labrador,-52.7153335518933,47.5954544885907,318
10010342,NL,Newfoundland and Labrador,-52.7117532298015,47.5958851178571,410
10010343,NL,Newfoundland and Labrador,-52.7158129225985,47.599246701478,315
10010344,NL,Newfoundland and Labrador,-52.7189745152061,47.6018800107695,878
10010345,NL,Newfoundland and Labrador,-52.7247822650008,47.6019836029624,873
10010346,NL,Newfoundland and Labrador,-52.7222726896094,47.5980285162174,413
10010348,NL,Newfoundland and Labrador,-52.7529785171561,47.607534497492,1653
10010356,NL,Newfoundland and Labrador,-52.7133850076425,47.5891357525669,851
10010357,NL,Newfoundland and Labrador,-52.7260374331652,47.588496048697,299
10010457,NL,Newfoundland and Labrador,-52.7693077217611,47.5234546378497,460
10010458,NL,Newfoundland and Labrador,-52.765234105069,47.5255520731195,530
10010459,NL,Newfoundland and Labrador,-52.7650635647067,47.528103666478,468
10010460,NL,Newfoundland and Labrador,-52.7579775681362,47.527522470892,526
10010461,NL,Newfoundland and Labrador,-52.7630098617644,47.5306120147455,346
10010482,NL,Newfoundland and Labrador,-52.7012177572671,47.5748704511163,836
10010484,NL,Newfoundland and Labrador,-52.7545245033856,47.5320090366174,760
10010485,NL,Newfoundland and Labrador,-52.6972185312939,47.6016755923692,502
10010486,NL,Newfoundland and Labrador,-52.6876993468681,47.5751841212253,1193
10010488,NL,Newfoundland and Labrador,-52.7437759412037,47.5378563028939,561
10010489,NL,Newfoundland and Labrador,-52.7412496431193,47.5357840028391,270
10010490,NL,Newfoundland and Labrador,-52.7413460269261,47.5331513710265,475
10010491,NL,Newfoundland and Labrador,-52.7579347380543,47.4986478660644,1003
10010492,NL,Newfoundland and Labrador,-52.7554162214927,47.509736268009,588
10010493,NL,Newfoundland and Labrador,-52.7470043427202,47.5135863047442,362
10010494,NL,Newfoundland and Labrador,-52.751798655545,47.5091621100551,381
10010495,NL,Newfoundland and Labrador,-52.7517011814685,47.5070233816878,326
10010496,NL,Newfoundland and Labrador,-52.892016705658,48.0945344216809,347
10010497,NL,Newfoundland and Labrador,-52.9379970876558,48.1171768961699,425
10010498,NL,Newfoundland and Labrador,-52.9995734999461,48.0870056098043,608
10010499,NL,Newfoundland and Labrador,-53.0604942003752,47.9794574007571,242
10010500,NL,Newfoundland and Labrador,-53.0612577132139,47.9494002884402,508
10010501,NL,Newfoundland and Labrador,-53.1325426846968,47.8847925524805,276
10010502,NL,Newfoundland and Labrador,-53.1080008689474,47.8448639255863,414
10010503,NL,Newfoundland and Labrador,-53.0165188727126,47.8749470540706,222
10010504,NL,Newfoundland and Labrador,-53.1687714763939,47.7744878507757,328
10010505,NL,Newfoundland and Labrador,-53.1752350512854,47.780462275497,764
10010506,NL,Newfoundland and Labrador,-53.233413770001,47.7617516935455,463
10010507,NL,Newfoundland and Labrador,-53.2263010849841,47.7687374973164,376
10010508,NL,Newfoundland and Labrador,-53.2295902112788,47.7788645802034,443
10010509,NL,Newfoundland and Labrador,-53.2558016731302,47.7712933457894,376
10010510,NL,Newfoundland and Labrador,-53.2223343607039,47.7439302884695,364
10010511,NL,Newfoundland and Labrador,-53.2170783834861,47.742827774749,417
10010512,NL,Newfoundland and Labrador,-53.2095932596747,47.7426144857688,430
10010513,NL,Newfoundland and Labrador,-53.2054561907014,47.737063699271,348
10010514,NL,Newfoundland and Labrador,-53.2323989118595,47.7367637209893,376
10010515,NL,Newfoundland and Labrador,-53.2380708873789,47.7390856216053,514
10010516,NL,Newfoundland and Labrador,-53.238834526169,47.7319756241878,415
10010517,NL,Newfoundland and Labrador,-53.2443209568024,47.727767788179,682
10010518,NL,Newfoundland and Labrador,-53.2303972507058,47.722721615188,742
10010519,NL,Newfoundland and Labrador,-53.221695270166,47.7262860648192,408
10010520,NL,Newfoundland and Labrador,-53.21152009771,47.7133128424175,320
10010521,NL,Newfoundland and Labrador,-53.2100730108753,47.7012644324073,411
10010522,NL,Newfoundland and Labrador,-53.2173455698363,47.6930166560024,416
10010523,NL,Newfoundland and Labrador,-53.2331628676099,47.6865378381189,432
10010524,NL,Newfoundland and Labrador,-53.2283529201397,47.6928876081823,393
10010525,NL,Newfoundland and Labrador,-53.2517237525869,47.6791253101208,439
10010526,NL,Newfoundland and Labrador,-53.2694030640612,47.6607766395963,323
10010527,NL,Newfoundland and Labrador,-53.2432315655506,47.663579975005,382
10010528,NL,Newfoundland and Labrador,-53.22924707,47.66017353,0
10010529,NL,Newfoundland and Labrador,-53.2204481410499,47.6510867780281,400
10010530,NL,Newfoundland and Labrador,-53.2284531273203,47.6433074779016,358
10010531,NL,Newfoundland and Labrador,-53.2296868242159,47.6369163314756,252
10010532,NL,Newfoundland and Labrador,-53.2043066288178,47.6470992375854,305
10010533,NL,Newfoundland and Labrador,-53.2071280747889,47.6534082712145,338
10010534,NL,Newfoundland and Labrador,-53.1917055049808,47.6726985916397,343
10010535,NL,Newfoundland and Labrador,-53.249566831177,47.6041135416716,721
10010536,NL,Newfoundland and Labrador,-53.2496808089338,47.5991689708117,576
10010537,NL,Newfoundland and Labrador,-53.266383123289,47.5892368637522,723
10010538,NL,Newfoundland and Labrador,-53.2777333359776,47.5900129806061,475
10010539,NL,Newfoundland and Labrador,-53.2712064780956,47.58015760011,571
10010540,NL,Newfoundland and Labrador,-53.2898932580043,47.5802200888759,794
10010541,NL,Newfoundland and Labrador,-53.2935150893637,47.5924674211222,446
10010542,NL,Newfoundland and Labrador,-53.3158933833519,47.5851657946726,552
10010543,NL,Newfoundland and Labrador,-53.3142973123675,47.5744960049984,574
10010544,NL,Newfoundland and Labrador,-53.2875510986721,47.5691594954956,542
10010545,NL,Newfoundland and Labrador,-53.30381856,47.55555873,0
10010546,NL,Newfoundland and Labrador,-53.3112827238768,47.5437340661389,579
10010547,NL,Newfoundland and Labrador,-53.3027323910918,47.5287651147614,841
10010548,NL,Newfoundland and Labrador,-53.2815038045981,47.545880321253,559
10010549,NL,Newfoundland and Labrador,-53.2717608201147,47.530614373699,674
10010550,NL,Newfoundland and Labrador,-53.2440515267709,47.5335221749489,365
10010551,NL,Newfoundland and Labrador,-53.22701940456,47.5269858189327,376
10010552,NL,Newfoundland and Labrador,-53.2127897193063,47.536948756001,323
10010553,NL,Newfoundland and Labrador,-53.2286225872698,47.5466184119726,334
10010554,NL,Newfoundland and Labrador,-53.2066451754011,47.5845797471354,486
10010555,NL,Newfoundland and Labrador,-53.2422885502255,47.5807657149353,388
10010556,NL,Newfoundland and Labrador,-52.9842347987882,47.612002576346,264
10010557,NL,Newfoundland and Labrador,-53.2255218259756,47.4993014783774,356
10010558,NL,Newfoundland and Labrador,-53.2212697368985,47.4873146933883,406
10010559,NL,Newfoundland and Labrador,-53.2007485737858,47.4567511197804,281
10010560,NL,Newfoundland and Labrador,-53.2303003582261,47.4569636151698,613
10010561,NL,Newfoundland and Labrador,-53.231974594861,47.4316180948415,343
10010562,NL,Newfoundland and Labrador,-53.2154461235944,47.4054375229776,584
10010563,NL,Newfoundland and Labrador,-53.1656957445503,47.415380305958,492
10010564,NL,Newfoundland and Labrador,-53.1683837048108,47.3821094919747,540
10010565,NL,Newfoundland and Labrador,-53.1442699145659,47.402205103409,516
10010566,NL,Newfoundland and Labrador,-53.1534302141844,47.4395695934403,573
10010567,NL,Newfoundland and Labrador,-53.1080739652943,47.4246334282291,570
10010568,NL,Newfoundland and Labrador,-53.08369876285,47.4575583338524,626
10010569,NL,Newfoundland and Labrador,-53.0780594143651,47.4573900284317,490
10010570,NL,Newfoundland and Labrador,-53.0631867545177,47.4663819540557,732
10010571,NL,Newfoundland and Labrador,-53.0579568405741,47.4553287984673,463
10010572,NL,Newfoundland and Labrador,-53.0438173971602,47.4803261653106,1517
10010573,NL,Newfoundland and Labrador,-53.04254618424,47.4887925582131,1302
10010574,NL,Newfoundland and Labrador,-53.0330126505483,47.4866208391029,440
10010575,NL,Newfoundland and Labrador,-53.0096296915663,47.4852574312744,1553
10010576,NL,Newfoundland and Labrador,-53.0212371751132,47.4885148606214,797
10010577,NL,Newfoundland and Labrador,-53.0190049938827,47.4940252517169,415
10010578,NL,Newfoundland and Labrador,-53.0260937069431,47.4985597058134,578
10010579,NL,Newfoundland and Labrador,-53.0083313566966,47.5076496490857,920
10010580,NL,Newfoundland and Labrador,-53.0107982455867,47.499137545571,616
10010581,NL,Newfoundland and Labrador,-53.0041186613145,47.4990265406245,656
10010582,NL,Newfoundland and Labrador,-52.9985934804194,47.4993826710297,633
10010583,NL,Newfoundland and Labrador,-52.9932042949839,47.4993372345907,655
10010584,NL,Newfoundland and Labrador,-52.9889594359232,47.5000606522589,1029
10010585,NL,Newfoundland and Labrador,-52.9830253738134,47.5015096181398,665
10010586,NL,Newfoundland and Labrador,-52.9785540262024,47.5036280629497,714
10010587,NL,Newfoundland and Labrador,-52.9712573562184,47.5110919407677,304
10010588,NL,Newfoundland and Labrador,-52.9661938465263,47.5075897163163,638
10010589,NL,Newfoundland and Labrador,-52.954779214093,47.514623310309,1316
10010590,NL,Newfoundland and Labrador,-52.9614268252045,47.5229895391398,742
10010591,NL,Newfoundland and Labrador,-52.9844793087828,47.5125958529253,679
10010592,NL,Newfoundland and Labrador,-52.9541894345405,47.4979799647262,496
10010593,NL,Newfoundland and Labrador,-52.9350188626661,47.514650445909,551
10010594,NL,Newfoundland and Labrador,-52.9297565408157,47.5137148749471,422
10010595,NL,Newfoundland and Labrador,-52.9328894365406,47.5176047493347,418
10010596,NL,Newfoundland and Labrador,-52.9312872900259,47.5203030115542,490
10010597,NL,Newfoundland and Labrador,-52.9376961008046,47.5186248925417,461
10010598,NL,Newfoundland and Labrador,-52.940023432591,47.5251261370628,657
10010599,NL,Newfoundland and Labrador,-52.9322671757446,47.5294372995769,615
10010600,NL,Newfoundland and Labrador,-52.931848137858,47.5322200574173,618
10010601,NL,Newfoundland and Labrador,-52.9325265124342,47.5370767059842,483
10010602,NL,Newfoundland and Labrador,-52.9436284217167,47.5341411929033,1162
10010603,NL,Newfoundland and Labrador,-52.9425019086155,47.5302928319499,563
10010604,NL,Newfoundland and Labrador,-52.9225556904547,47.5355078435706,529
10010605,NL,Newfoundland and Labrador,-52.9145899481819,47.5244646658411,549
10010607,NL,Newfoundland and Labrador,-52.8912692883596,47.539640951726,1324
10010608,NL,Newfoundland and Labrador,-52.883303502245,47.5319083310058,2399
10010610,NL,Newfoundland and Labrador,-52.8729413606761,47.5348336575522,1094
10010611,NL,Newfoundland and Labrador,-52.8630340317329,47.5340013171485,195
10010614,NL,Newfoundland and Labrador,-52.8520910866166,47.5390395430568,384
10010617,NL,Newfoundland and Labrador,-52.8316297367904,47.5392522085745,2909
10010618,NL,Newfoundland and Labrador,-52.8334013314641,47.5356998806041,610
10010619,NL,Newfoundland and Labrador,-52.8401397455329,47.5413094725429,546
10010620,NL,Newfoundland and Labrador,-52.8122850371286,47.5332379920859,994
10010621,NL,Newfoundland and Labrador,-52.8110177247373,47.5299141598754,623
10010622,NL,Newfoundland and Labrador,-52.808503588948,47.5278573781324,586
10010623,NL,Newfoundland and Labrador,-52.8146492534252,47.5247627899515,655
10010624,NL,Newfoundland and Labrador,-52.8148546956262,47.5211550976127,391
10010625,NL,Newfoundland and Labrador,-52.8141556479386,47.519283687382,383
10010626,NL,Newfoundland and Labrador,-52.8096372833189,47.5179653230926,375
10010627,NL,Newfoundland and Labrador,-52.8104397208137,47.515435317416,414
10010628,NL,Newfoundland and Labrador,-52.8041584131808,47.5177392795982,349
10010629,NL,Newfoundland and Labrador,-52.8137587475036,47.5129987876241,1010
10010630,NL,Newfoundland and Labrador,-52.8152388778157,47.5158548242986,338
10010631,NL,Newfoundland and Labrador,-52.81884156547,47.5146797286996,218
10010632,NL,Newfoundland and Labrador,-52.8242352722874,47.5181698000259,695
10010633,NL,Newfoundland and Labrador,-52.8212602304121,47.520250091632,685
10010634,NL,Newfoundland and Labrador,-52.8288212809724,47.5212102253489,701
10010635,NL,Newfoundland and Labrador,-52.8294197963201,47.5173621584007,414
10010636,NL,Newfoundland and Labrador,-52.8247472420048,47.5142579015983,846
10010637,NL,Newfoundland and Labrador,-52.816083108689,47.5038617505094,659
10010638,NL,Newfoundland and Labrador,-52.8064007211143,47.509165403116,455
10010639,NL,Newfoundland and Labrador,-52.8145290424154,47.5104191581918,374
10010640,NL,Newfoundland and Labrador,-52.8119474244866,47.5109631115722,359
10010641,NL,Newfoundland and Labrador,-52.8076913754731,47.5104975344348,393
10010642,NL,Newfoundland and Labrador,-52.8024071898996,47.5119332799591,465
10010643,NL,Newfoundland and Labrador,-52.7892431030793,47.5171194879192,555
10010644,NL,Newfoundland and Labrador,-52.7863050837483,47.5142654919415,1461
10010645,NL,Newfoundland and Labrador,-52.7874725476838,47.5200454072339,383
10010646,NL,Newfoundland and Labrador,-52.7836813723343,47.5238595443719,648
10010647,NL,Newfoundland and Labrador,-52.7961729341671,47.5205908350979,467
10010648,NL,Newfoundland and Labrador,-52.7914050929685,47.5188382937451,318
10010649,NL,Newfoundland and Labrador,-52.796296288269,47.517742278066,309
10010650,NL,Newfoundland and Labrador,-52.8008068440136,47.5175358950856,363
10010651,NL,Newfoundland and Labrador,-52.8029173312053,47.5288025040783,1276
10010652,NL,Newfoundland and Labrador,-52.8005962830827,47.5294444976736,458
10010653,NL,Newfoundland and Labrador,-52.7955055813286,47.5319895525381,735
10010654,NL,Newfoundland and Labrador,-52.8059453098401,47.507624254724,479
10010655,NL,Newfoundland and Labrador,-52.8005065065044,47.5075603372112,300
10010656,NL,Newfoundland and Labrador,-52.7994738766372,47.505046215621,686
10010657,NL,Newfoundland and Labrador,-52.8053808884519,47.5058285460435,355
10010658,NL,Newfoundland and Labrador,-52.8099078607367,47.5051325899628,356
10010659,NL,Newfoundland and Labrador,-52.8018311077211,47.5024887662252,269
10010660,NL,Newfoundland and Labrador,-52.8049939247386,47.4999863999491,210
10010661,NL,Newfoundland and Labrador,-52.7987594253154,47.5001598778555,1064
10010662,NL,Newfoundland and Labrador,-52.7996635607523,47.5000293781356,335
10010663,NL,Newfoundland and Labrador,-52.7932247206891,47.5026628799743,324
10010664,NL,Newfoundland and Labrador,-52.7967650442854,47.5050940490251,205
10010666,NL,Newfoundland and Labrador,-52.977386003717,47.4859927147213,492
10010667,NL,Newfoundland and Labrador,-52.9242873986542,47.5152764479915,731
10010668,NL,Newfoundland and Labrador,-52.8959457067047,47.5133632010756,605
10010669,NL,Newfoundland and Labrador,-52.7780989945521,47.4718555351942,570
10010670,NL,Newfoundland and Labrador,-52.7804437281177,47.4587335601675,564
10010671,NL,Newfoundland and Labrador,-52.7774990216744,47.4582561635682,870
10010672,NL,Newfoundland and Labrador,-52.7796265029966,47.4554062523102,389
10010673,NL,Newfoundland and Labrador,-52.7738960000623,47.454639269099,316
10010674,NL,Newfoundland and Labrador,-52.7775810583107,47.452932758054,354
10010675,NL,Newfoundland and Labrador,-52.7800705513104,47.451314627369,507
10010676,NL,Newfoundland and Labrador,-52.7578129346301,47.4490550668483,771
10010677,NL,Newfoundland and Labrador,-52.7684155747827,47.4577975816084,509
10010678,NL,Newfoundland and Labrador,-52.724253493225,47.4842033821942,639
10010679,NL,Newfoundland and Labrador,-52.7056599900713,47.471148082748,606
10010680,NL,Newfoundland and Labrador,-52.7067794353441,47.4679514905886,341
10010681,NL,Newfoundland and Labrador,-52.7483572554274,47.4254499242131,290
10010682,NL,Newfoundland and Labrador,-52.7398327,47.69396869,0
10010683,NL,Newfoundland and Labrador,-52.7928029795538,47.3245299447974,927
10010684,NL,Newfoundland and Labrador,-52.8224295486089,47.3207787499822,639
10010685,NL,Newfoundland and Labrador,-52.8379329394903,47.2839007975701,1132
10010686,NL,Newfoundland and Labrador,-52.7969636124692,47.2723328269537,508
10010687,NL,Newfoundland and Labrador,-52.8802135771501,47.3037366895738,119
10010688,NL,Newfoundland and Labrador,-52.7810032415243,47.4380328007484,391
10010689,NL,Newfoundland and Labrador,-53.1218346057945,47.3693140759635,845
10010690,NL,Newfoundland and Labrador,-53.2931660827144,47.3556889092538,423
10010691,NL,Newfoundland and Labrador,-53.2851128641395,47.4961584850433,425
10010692,NL,Newfoundland and Labrador,-53.3408617797209,47.4609404343731,720
10010693,NL,Newfoundland and Labrador,-53.3865779630566,47.5341889780369,35
10010694,NL,Newfoundland and Labrador,-53.5438290085187,47.5031751979597,488
10010695,NL,Newfoundland and Labrador,-53.5515775424363,47.5672782116753,579
10010696,NL,Newfoundland and Labrador,-53.555576555386,47.5725383125961,386
10010697,NL,Newfoundland and Labrador,-53.5367474974871,47.5832019493482,598
10010698,NL,Newfoundland and Labrador,-53.5375421264425,47.6205823515795,387
10010699,NL,Newfoundland and Labrador,-53.5044882302104,47.6355241421211,441
10010700,NL,Newfoundland and Labrador,-53.4949476866548,47.6906764918539,444
10010701,NL,Newfoundland and Labrador,-53.4744886596539,47.6904337809795,351
10010702,NL,Newfoundland and Labrador,-53.4819763766917,47.7712608310578,646
10010703,NL,Newfoundland and Labrador,-53.4412821577583,47.8128911845681,184
10010704,NL,Newfoundland and Labrador,-53.3740517274097,47.8679602262745,330
10010705,NL,Newfoundland and Labrador,-53.3453635749636,47.9070150970083,200
10010706,NL,Newfoundland and Labrador,-53.1663645276777,48.0284933606804,539
10010707,NL,Newfoundland and Labrador,-53.3212183384941,47.9535803896157,436
10010708,NL,Newfoundland and Labrador,-53.2729660493558,48.0045993194641,318
10010709,NL,Newfoundland and Labrador,-53.789704532268,47.698358124624,387
10010710,NL,Newfoundland and Labrador,-53.9136521723745,47.8703565219522,407
10010711,NL,Newfoundland and Labrador,-53.98720930476,47.8320847409023,208
10010712,NL,Newfoundland and Labrador,-53.9817180272164,47.7673342083438,715
10010713,NL,Newfoundland and Labrador,-53.9833357349427,47.7613825561986,249
10010714,NL,Newfoundland and Labrador,-53.8460456420884,47.6106054676636,266
10010715,NL,Newfoundland and Labrador,-53.8311770496912,47.6666091239912,213
